歌手：The Script / will.i.am,所属专辑：#3 Deluxe Version,Hall of Fame,19542337,201351,[295816, 236293, 210992, 152788, 129026, 120098, 107802, 46106, 42884, 42202, 39413, 31121, 23414, 20083, 18981]
歌手：La Grande Sophie,所属专辑：Des Vagues Et Des Ruisseaux (Version Standard),Tu N'As Pas Cherché...,21014930,4159,[5814, 4149, 3973, 2905, 1785, 1266, 1075, 777, 711, 506, 163, 106, 92, 80, 56]
歌手：Noel Toto,所属专辑：Pam Pam,Pam Pam,29498812,6639,[5529, 4354, 1820, 1067, 566, 500, 218, 205, 153, 108, 101, 90, 87, 64, 52]
歌手：Bê Ignacio,所属专辑：Sununga,Sununga,27937370,2297,[1749, 960, 773, 550, 330, 310, 238, 183, 122, 106, 69, 41, 39, 37, 16]
歌手：Bruno Mars,所属专辑：Unorthodox Jukebox,Treasure,25657233,25267,[119589, 52973, 28816, 20015, 11915, 8238, 7363, 5023, 4112, 3590, 2156, 2072, 1799, 1543, 907]
歌手：Jennifer Lopez,所属专辑：Brave,Brave,18801783,3854,[4424, 1991, 1425, 959, 755, 634, 519, 327, 305, 293, 209, 105, 95, 65, 53]
歌手：Natasha St. Pier,所属专辑：Tu Trouveras,Un Ange Frappe à Ma Porte,3165930,5483,[4874, 2847, 2412, 1976, 1138, 1103, 841, 806, 625, 567, 535, 476, 167, 119, 115]
歌手：周思涵 / Ayo97,所属专辑：卧龙与酒,感谢你曾来过,460578140,286711,[599296, 276263, 219157, 193247, 137223, 119790, 107738, 80223, 78819, 75439, 67111, 61092, 58504, 52926, 46596]
歌手：陈力,所属专辑：红楼梦 电视连续剧歌曲集.原声带,引子,159424,5006,[8051, 4527, 3156, 2966, 2608, 2516, 2237, 1734, 1516, 1280, 1148, 1087, 1047, 825, 491]
歌手：双笙,所属专辑：我的一个道姑朋友,我的一个道姑朋友,1367452194,365312,[147571, 99540, 59789, 48655, 48256, 46530, 30137, 22903, 17415, 12452, 10810, 10408, 10133, 10017, 8872]
歌手：花粥 / 王胜娚,所属专辑：粥请客（四）,出山,1313354324,477257,[28894, 19011, 15887, 12242, 11526, 8328, 7124, 6998, 6891, 5696, 5332, 4011, 3726, 3538, 3293]
歌手：Meg Myers,所属专辑：Make A Shadow,Make A Shadow,28283305,9349,[12160, 9521, 5367, 2459, 2347, 1917, 1751, 1085, 1055, 912, 887, 852, 422, 171, 83]
歌手：Matteo,所属专辑：Panama,Panama,34229976,89806,[396046, 141616, 99546, 69556, 68386, 52577, 33092, 32125, 24837, 24326, 18812, 14420, 14379, 13166, 12160]
歌手：Los Auténticos Decadentes,所属专辑：25 Aniversario En Vivo En El Palacio de los Deportes,No Me Importa El Dinero (En Vivo),16281504,1741,[319, 135, 117, 44, 19, 14]
歌手：屠洪刚,所属专辑：风云2,你,151142,16451,[19224, 14985, 13803, 13275, 12358, 10996, 7272, 6837, 5382, 4742, 3478, 2995, 2765, 1518, 873]
歌手：郭顶,所属专辑：飞行器的执行周期,水星记,441491828,404362,[428522, 363987, 327718, 299395, 284271, 212532, 195772, 160715, 149487, 122982, 105769, 90567, 78945, 56622, 44904]
歌手：Wolfgang Amadeus Mozart,所属专辑：Bestseller Classic 1,Menuet D major,5189652,19701,[40024, 18609, 13274, 8932, 8849, 6214, 5821, 4859, 3401, 2803, 2453, 2426, 2234, 2050, 1815]
歌手：Ludwig van Beethoven,所属专辑：史上最优美钢琴小品精华,悲怆奏鸣曲,5276807,13184,[40314, 26530, 21355, 19141, 10674, 7785, 4642, 4239, 3443, 3180, 2959, 2600, 2205, 2183, 1545]
歌手：Ludwig van Beethoven,所属专辑：世界著名交响乐团演奏的古典音乐系列之一 世界著名抒情音乐小品,致艾丽丝,25830157,4627,[22257, 9328, 6957, 4668, 3457, 3120, 2441, 2380, 2185, 1646, 1217, 816, 799, 607, 591]
歌手：Ludwig van Beethoven,所属专辑：史上最优美钢琴小品精华,月光奏鸣曲,5276808,14721,[59632, 28748, 21446, 20815, 15388, 12017, 11131, 9232, 8312, 7596, 6026, 5394, 4650, 3829, 3287]
歌手：Lovebugs,所属专辑：Naked,When I See You Smile,4153023,315,[292, 188, 115, 48, 39, 31, 31, 28]
歌手：张国荣,所属专辑：Ultimate ,倩女幽魂,188175,34248,[78815, 75972, 57748, 49548, 37616, 27091, 26652, 23575, 22631, 15732, 15526, 10484, 8161, 7991, 2578]
歌手：Various Artists,所属专辑：Classic <Turn Left Turn Right> Two-String Bowed,善变的女人,26598256,78,[108, 91, 25]
歌手：倪椤,所属专辑：瓶子的钢琴独奏小作品,疯狂的法老,483630786,2916,[8346, 3138, 2388, 1298, 1041, 1007, 910, 862, 794, 695, 493, 478, 422, 371, 333]
歌手：Gary Jules,所属专辑：Mad World,Mad World,1375824,8702,[17357, 8885, 6913, 4267, 3875, 1983, 1959, 1555, 1349, 1276, 1080, 855, 607, 484, 478]
歌手：Prezioso & Marvin,所属专辑：40 Christmas Dance Hits,The Riddle (Radio Edit),24269596,28386,[70012, 56450, 29578, 22089, 17960, 11031, 9303, 7232, 6596, 5693, 4867, 4018, 3430, 3288, 3127]
歌手：Beach House,所属专辑：Depression Cherry,Space Song,33075107,6876,[9428, 5335, 4009, 3224, 2448, 1983, 1765, 1455, 1092, 910, 805, 682, 535, 452, 194]
